A_and_B_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.000274987900532377	0.348602495331676	0.0211362413532674	0.000274987900532377	0.731054043069489	0.00971520427234088	0.000274987900532377	0.172079989698931	0.0487295677096292	0.000274987900532377	0.470846780704768	0.0225589442119268	0.000274987900532377	0.750921137039321	0.0144213908885782	0.000274987900532377	0.352286316882278	0.0793059964363969	0.000274987900532377	0.472770802341498	0.0319157085337226	0.000274987900532377	0.770379121905223	0.0178354159021098	0.000274987900532377	0.421296299723307	0.110632566582222
0.000324985700629172	0.369733434168369	0.0141351250891112	0.000324985700629172	0.728836186414233	0.0118336845372861	0.000324985700629172	0.342757538732374	0.0634372189202416	0.000324985700629172	0.437699020955326	0.0235374747615805	0.000324985700629172	0.733828167426472	0.0093976876807601	0.000324985700629172	0.350016701308422	0.0649298660609355	0.000324985700629172	0.443074401862856	0.0217757025390068	0.000324985700629172	0.75884177041043	0.0133131408013314	0.000324985700629172	0.47651715150327	0.0567807026907689
0.000374983500725968	0.376159262290049	0.0256863552406593	0.000374983500725968	0.72472923621737	0.0187249930225668	0.000374983500725968	0.251146436616452	0.0574285090476339	0.000374983500725968	0.455148162350405	0.0234147264876669	0.000374983500725968	0.729443892974602	0.0120233709739347	0.000374983500725968	0.405165084262616	0.0533835659214307	0.000374983500725968	0.457608333297436	0.0234163940261197	0.000374983500725968	0.733333652236015	0.0145860829180561	0.000374983500725968	0.27784155198672	0.0676470192094829
0.000424981300822764	0.367732259629667	0.0195119523083197	0.000424981300822764	0.716124375063181	0.0100800577557928	0.000424981300822764	0.233125468608067	0.0655400732709764	0.000424981300822764	0.485434783089792	0.0170182448295793	0.000424981300822764	0.721616704763461	0.0144731543349353	0.000424981300822764	0.451764282535548	0.0892492471404555	0.000424981300822764	0.475419248032745	0.0301211547104017	0.000424981300822764	0.725922167878887	0.013684359834488	0.000424981300822764	0.402539580775609	0.0515541895338048
0.000474979100919559	0.334640750048993	0.0136669822370445	0.000474979100919559	0.703988914973272	0.0135181375299501	0.000474979100919559	0.390253850905709	0.069162729841145	0.000474979100919559	0.413145744609584	0.0219265831148659	0.000474979100919559	0.724994914810199	0.0159844289098681	0.000474979100919559	0.319661942398964	0.0692985371851472	0.000474979100919559	0.517202941316566	0.0171283231539886	0.000474979100919559	0.698664340901278	0.0141345464540065	0.000474979100919559	0.381305124066785	0.0925926131675705
0.000549975801064753	0.342331880700944	0.0111131588133148	0.000549975801064753	0.699910785397984	0.0120684828265462	0.000549975801064753	0.214178711280524	0.0364000048411851	0.000549975801064753	0.469362997814051	0.0157504222740965	0.000549975801064753	0.704909722035852	0.00991007309681234	0.000549975801064753	0.379029770658184	0.0450211627424329	0.000549975801064753	0.459432491594783	0.0107372052182445	0.000549975801064753	0.737520454316838	0.00951349002087208	0.000549975801064753	0.398551866844937	0.046925464036221
0.000649971401258345	0.346647285489812	0.0105718254675307	0.000649971401258345	0.684168303568935	0.0118101540604427	0.000649971401258345	0.229838455105061	0.0458307347485854	0.000649971401258345	0.40668973618731	0.0129097133855707	0.000649971401258345	0.718860318113024	0.00763070428925287	0.000649971401258345	0.308342724025079	0.0733483634609131	0.000649971401258345	0.466824097325353	0.0196758304965015	0.000649971401258345	0.711379454270227	0.00903159367895446	0.000649971401258345	0.453062370378804	0.0430469184558973
0.000749967001451936	0.351165662279452	0.00705523852131736	0.000749967001451936	0.690929007680638	0.0105184531285273	0.000749967001451936	0.218304135518188	0.0370966092263342	0.000749967001451936	0.411645788209588	0.0208395220115492	0.000749967001451936	0.720890379220834	0.00751643401239177	0.000749967001451936	0.290922913077591	0.0713084781400531	0.000749967001451936	0.469500735975772	0.0184885800248817	0.000749967001451936	0.721310129764554	0.00716471016185338	0.000749967001451936	0.389738771703585	0.0460179555837655
0.000849962601645528	0.348496343817761	0.0201145888087692	0.000849962601645528	0.697617684541853	0.00924141581740345	0.000849962601645528	0.227045401796892	0.0472181848734945	0.000849962601645528	0.431771079986329	0.0137929909933759	0.000849962601645528	0.698649479467696	0.0107659830385471	0.000849962601645528	0.349157234482496	0.0493384266493298	0.000849962601645528	0.467180689679665	0.018696125777878	0.000849962601645528	0.714574136074179	0.012382183882504	0.000849962601645528	0.398147427224003	0.0368090278161606
