A_and_C_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.000299986800580774	0.399432275267073	0.00960362430732249	0.000299986800580774	0.615167163791001	0.00832887990218094	0.000299986800580774	0.440077939121101	0.0447585561770735	0.000299986800580774	0.446394789009759	0.0205211284698445	0.000299986800580774	0.591334918419967	0.00641723287057033	0.000299986800580774	0.333692142403364	0.0541852280112039	0.000299986800580774	0.459420843268886	0.00663830199348454	0.000299986800580774	0.617063332857523	0.0075850493867103	0.000299986800580774	0.486461817860382	0.0505922912120914
0.000399982400774366	0.40756256913122	0.0132921109134696	0.000399982400774366	0.603757774613225	0.00823858219728366	0.000399982400774366	0.379154351558468	0.0431590631002249	0.000399982400774366	0.480465151288368	0.013677384814547	0.000399982400774366	0.594595909678706	0.00769184477135326	0.000399982400774366	0.321195158709009	0.0589426500422895	0.000399982400774366	0.47690714311733	0.0136614976221364	0.000399982400774366	0.59945878798262	0.0111710131116141	0.000399982400774366	0.352724852437505	0.0636920145542269
0.000499978000967957	0.438650260239646	0.0170404760352333	0.000499978000967957	0.586948864350153	0.00721377108955521	0.000499978000967957	0.255044845586679	0.0555284330818405	0.000499978000967957	0.438486150774263	0.0200577758031648	0.000499978000967957	0.592976526683709	0.00672530407465226	0.000499978000967957	0.470284181581966	0.0618388920641142	0.000499978000967957	0.462128079478866	0.0175167216745466	0.000499978000967957	0.582275916161516	0.00780475116962718	0.000499978000967957	0.376267156464629	0.0747246335166624
0.000599973601161549	0.4280351911621	0.0114119615949326	0.000599973601161549	0.574558487946766	0.00817053635065581	0.000599973601161549	0.34757664571284	0.0709249034047486	0.000599973601161549	0.42403628215936	0.011614845909587	0.000599973601161549	0.605332155204728	0.00912641059505425	0.000599973601161549	0.333156509707687	0.046918350675176	0.000599973601161549	0.46497911917042	0.0145833613135761	0.000599973601161549	0.602337026683293	0.00755314266332902	0.000599973601161549	0.42757823460162	0.0689650845037612
0.00069996920135514	0.426403400723257	0.0113682067379704	0.00069996920135514	0.570259693157148	0.00828219172113474	0.00069996920135514	0.396261879480437	0.0621334210106297	0.00069996920135514	0.442258650173983	0.0130024844522242	0.00069996920135514	0.585329595342628	0.0095386660515361	0.00069996920135514	0.340421117767569	0.0635469028224878	0.00069996920135514	0.43271791947583	0.00984184672494784	0.00069996920135514	0.59497430306408	0.00984128813888007	0.00069996920135514	0.304027389169517	0.0622989309276217
0.000849962601645528	0.395329490563607	0.00890558768808146	0.000849962601645528	0.57183892620996	0.00612620471052423	0.000849962601645528	0.334795174524801	0.0296470747670306	0.000849962601645528	0.444121563822982	0.0135137665281093	0.000849962601645528	0.574498625380202	0.00468208772959918	0.000849962601645528	0.380963581234007	0.0267410070554043	0.000849962601645528	0.45900498518818	0.012587279566183	0.000849962601645528	0.585018654087617	0.00648282049651934	0.000849962601645528	0.337485651823715	0.027658981953086
0.00104995380203271	0.408203763287931	0.00862155755908314	0.00104995380203271	0.563992200571614	0.00703185176209466	0.00104995380203271	0.277157156855311	0.0299992133465418	0.00104995380203271	0.435564378455329	0.00575004827163033	0.00104995380203271	0.580362866340373	0.0038370207974407	0.00104995380203271	0.448737993997648	0.0490950560071312	0.00104995380203271	0.466168076896296	0.00575486578354607	0.00104995380203271	0.582390632726808	0.00681234604947477	0.00104995380203271	0.389617427951041	0.0407160096013411
0.00124994500241989	0.390482379757722	0.0088672110079704	0.00124994500241989	0.557584645078066	0.00564808264916226	0.00124994500241989	0.40515975975465	0.0343167259217453	0.00124994500241989	0.426184661265844	0.0104278774769052	0.00124994500241989	0.560332737632427	0.00583420044720872	0.00124994500241989	0.430415447583327	0.0475236439877839	0.00124994500241989	0.429343229660306	0.0101247976280721	0.00124994500241989	0.565847085371487	0.00532520171017231	0.00124994500241989	0.369278573056317	0.0300406657981952
0.00144993620280708	0.405796042280738	0.00581985391309794	0.00144993620280708	0.558021701605887	0.00676640570540952	0.00144993620280708	0.293841879948646	0.0514038066080336	0.00144993620280708	0.423520955532162	0.00923483361595248	0.00144993620280708	0.553864944916936	0.00572417570684815	0.00144993620280708	0.30445976123497	0.0390002391984343	0.00144993620280708	0.42499654018091	0.0081055961567067	0.00144993620280708	0.564647041759827	0.00595436275323444	0.00144993620280708	0.329081803326109	0.0316679025833559
0.00164992740319426	0.395626940508575	0.00968516343171057	0.00164992740319426	0.551830794864786	0.00461949876999547	0.00164992740319426	0.248584482357504	0.0282883450331725	0.00164992740319426	0.423659582818438	0.0103824687835356	0.00164992740319426	0.557316637733459	0.00563643520307725	0.00164992740319426	0.435812116307224	0.0513165096355302	0.00164992740319426	0.414282065368271	0.00886046711017865	0.00164992740319426	0.55446922278466	0.00509685148431238	0.00164992740319426	0.302274636245954	0.0276459052007634
0.00194991420377503	0.391668806892263	0.00792937802741022	0.00194991420377503	0.536608662672018	0.00321610861985852	0.00194991420377503	0.303418426747038	0.0159993612544991	0.00194991420377503	0.410079633602219	0.00883292284607471	0.00194991420377503	0.536042613800443	0.0041622622061122	0.00194991420377503	0.331975765318762	0.0241922803492274	0.00194991420377503	0.441380737764253	0.00621455098902094	0.00194991420377503	0.550589529684978	0.00445298900516564	0.00194991420377503	0.355600635520138	0.0262695532342855
0.0023498966045494	0.386085452369111	0.00652488511107001	0.0023498966045494	0.531915017765782	0.00361864526899749	0.0023498966045494	0.362004591025919	0.0294509116654841	0.0023498966045494	0.403631908080865	0.00939535684357055	0.0023498966045494	0.529241026152239	0.00396207434646718	0.0023498966045494	0.3774239980931	0.0269247221753796	0.0023498966045494	0.397814736595207	0.00892699743087741	0.0023498966045494	0.549637849440951	0.00527504452968997	0.0023498966045494	0.398170680478407	0.0331775450285395
0.00274987900532377	0.378506102916123	0.00549121420056676	0.00274987900532377	0.522293677294935	0.00511930408177653	0.00274987900532377	0.261102609930968	0.0186079078601275	0.00274987900532377	0.413342840793735	0.007494737104939	0.00274987900532377	0.531329903470787	0.0033767719972616	0.00274987900532377	0.354054809863597	0.0335968265286561	0.00274987900532377	0.413937870231356	0.00862993207902779	0.00274987900532377	0.537229031905135	0.00369431537971058	0.00274987900532377	0.363062776024369	0.036126424200895
0.00314986140609813	0.363263064700513	0.00647792285797899	0.00314986140609813	0.512713008861356	0.00372807826724555	0.00314986140609813	0.263535467890672	0.0321679622278304	0.00314986140609813	0.391548336622667	0.00783076137460859	0.00314986140609813	0.52421882189131	0.0053798679197964	0.00314986140609813	0.36034180198807	0.0252772313277349	0.00314986140609813	0.39115626093973	0.00875824781888821	0.00314986140609813	0.528774278014598	0.00403833878207115	0.00314986140609813	0.400030715375489	0.0234280681674688
